"Cycle"	"Time"	"Temp"	"O2"	"CO2"	"Shaker"
"1"	NA	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA
"4"	1	0.0277777777777778	35.15	0	7.70496878587253e+31	799
"5"	2	0.185555555555556	37.25	0	7.70496878587253e+31	799
"6"	3	0.336666666666667	37.1	0	7.70496878587253e+31	799
"7"	4	0.488333333333333	37.1	0	7.70496878587253e+31	800
"8"	5	0.639722222222222	37.1	0	7.70496878587253e+31	799
"9"	6	0.792222222222222	37.1	0	7.70496878587253e+31	799
"10"	7	0.945	37.05	0	7.70496878587253e+31	799
"11"	8	1.09777777777778	37.1	0	7.70496878587253e+31	800
"12"	9	1.25055555555556	37.1	0	7.70496878587253e+31	799
"13"	10	1.40333333333333	37.1	0	7.70496878587253e+31	799
"14"	11	1.55611111111111	37.05	0	7.70496878587253e+31	800
"15"	12	1.70944444444444	37.05	0	7.70496878587253e+31	799
"16"	13	1.86194444444444	37.1	0	7.70496878587253e+31	799
"17"	14	2.01555555555556	37.05	0	7.70496878587253e+31	800
"18"	15	2.16833333333333	37	0	7.70496878587253e+31	800
"19"	16	2.32083333333333	37.1	0	7.70496878587253e+31	800
"20"	17	2.47361111111111	37.05	0	7.70496878587253e+31	800
"21"	18	2.62666666666667	37.05	0	7.70496878587253e+31	800
"22"	19	2.77972222222222	37.05	0	7.70496878587253e+31	800
"23"	20	2.9325	37.05	0	7.70496878587253e+31	799
"24"	21	3.08472222222222	37.1	0	7.70496878587253e+31	800
"25"	22	3.23777777777778	37.1	0	7.70496878587253e+31	800
"26"	23	3.39	37.1	0	7.70496878587253e+31	799
"27"	24	3.54305555555556	37.1	0	7.70496878587253e+31	800
"28"	25	3.69527777777778	37.05	0	7.70496878587253e+31	800
"29"	26	3.84833333333333	37.1	0	7.70496878587253e+31	800
"30"	27	4.00138888888889	37.05	0	7.70496878587253e+31	800
"31"	28	4.15388888888889	37.05	0	7.70496878587253e+31	800
"32"	29	4.30694444444444	37.05	0	7.70496878587253e+31	800
"33"	30	4.45972222222222	37.05	0	7.70496878587253e+31	800
"34"	31	4.61277777777778	37.05	0	7.70496878587253e+31	800
